NewID,TOC_Percent,Notes
LGSS-02,1.8000,
LGSS-03,3.7807,
LGSS-04,2.8099,
LGSS-05,5.2224,
LGSS-06,7.2000,
LGSS-07,14.0206,
LGSS-12,8.9069,
LGSS-14,3.0596,
LGSS-17,18.4466,
LGSS-09,17.8641,
LGSS-10,7.5949,
LGSS-18,2.7864,
LGSS-11,4.1667,
LGSS-24,6.4516,
LGSS-13,5.9150,
LGSS-27,2.3762,
LGSS-15,2.1825,
LGSS-34,1.1952,
LGSS-16,8.9069,
LGSS-01,5.5102,
LGSS-R04,7.6321,
LGSS-T08,0.5300,
BEAG-1.8,2.5316,
BLKE-0.1,5.1793,
LGSS-25,2.2609,
BUTL-01,2.6210,
LGSS-26,1.7510,
LGSS-28,0.3339,
LGSS-29,3.9106,
LGSS-30,1.0703,
CHMO-10.1,2.7094,
CHMO-8.0,15.1013,
LGSS-31,0.2004,
LGSS-23,6.6132,
FISN-2.4,7.4297,
FOMI-5.7,4.3137,
FOMI_S-0.1,2.5253,
GOTC-0.2,0.9843,
LGSS-32,1.5314,
GUFF-1.8,3.5842,
HRBT-2.2,0.6525,
JOHN-12.7,7.4236,
LSIS-2.0,4.1916,
LGSS-33,1.4311,
LGSS-35,0.8000,
MIDL-2.5,8.7209,
LGSS-36,0.5068,
LGSS-37,1.5968,
MUSK-01,19.5519,
LGSS-38,0.6048,
LGSS-39,2.5641,
NLSM-7.9,1.4028,
LGSS-40,1.8762,
POBK-01,2.8112,
LGSS-R01,10.1392,
LGSS-R03,2.0677,
LGSS-R05,39.0625,
LGSS-R06,1.2903,
LGSS-R07,3.1936,
LGSS-R08,2.1739,
LGSS-R09,6.4579,
LGSS-R10,3.2129,
LGSS-R02,3.6145,
LGSS-19,3.6458,
LGSS-20,6.3717,
LGSS-21,2.2648,
LGSS-22,2.1869,
LGSS-41,0.7937,
LGSS-T10,6.1100,
TELV-10.6,8.9463,
LGSS-42,0.5464,miss-measured
LGSS-T12,10.5906,not on site list
LGSS-T01,7.3814,
LGSS-T02,0.5102,
LGSS-T04,0.9836,
LGSS-T05,5.2336,
LGSS-T06,23.4086,
LGSS-T07,1.3944,
LGSS-T09,33.6152,
LGSS-T11,1.7928,
LGSS-43,0.9381,
WBOT-01,6.8410,
YANT-0.2,1.4257,
