site_id,tot,target,missed,over,under
01-FISN-2.4,200,200,0,0,0
01-GILL-0.3,200,200,0,0,0
01-GOTC-0.2,200,200,0,0,0
01-LSIS-2.4,200,200,0,0,0
01-MURD-20.0,200,200,0,0,0
01-PION-0.9,200,200,0,0,0
01-PLUT_N_T4-1.0,200,200,0,0,0
01-STYB_T5-0.3,200,200,0,0,0
01-TONA-103.5,200,200,0,0,0
01-VBUR-0.4,200,200,0,0,0
02-BLBA-0.4,200,200,0,0,0
02-CASS-25.6,200,200,0,0,0
02-CASS-33.3,200,200,0,0,0
02-RAWS-0.8,200,200,0,0,0
03-BEAG-1.8,200,200,0,0,0
03-BEEK-4.5,130,200,-70,0,-70
03-CHMO-8.6,200,200,0,0,0
03-EMIL_E_T6-0.4,200,200,0,0,0
03-FOMI-5.5,200,200,0,0,0
03-FOMI_S-0.1,200,200,0,0,0
03-GUFF-0.9,200,200,0,0,0
03-HRTB-2.2,200,200,0,0,0
03-JEDO_T3-0.4,200,200,0,0,0
03-JOHN-13.7,200,200,0,0,0
03-MIDL-2.4,200,200,0,0,0
03-SAND_T21-4.0,200,200,0,0,0
03-TELV-12.8,200,200,0,0,0
03-YANT_T1c-0.2,200,200,0,0,0
04-BLAK_N_T1-1.1,200,200,0,0,0
04-BLAK_T16-0.8,200,200,0,0,0
04-BLAK_T7-3.0,200,200,0,0,0
04-BLCE-5.2,200,200,0,0,0
04-JCOX-4.6,200,200,0,0,0
04-JCOX_S-3.7,200,200,0,0,0
04-MCMI_S-5.0,200,200,0,0,0
04-OATK-46.2,200,200,0,0,0
04-SPRG-10.1,200,200,0,0,0
04-WCONI-0.6,200,200,0,0,0
04-WDIT-0.1,200,200,0,0,0
04-WMRSG-0.2,200,200,0,0,0
05-CAMB-11.2,200,200,0,0,0
05-CBRO-1.8,200,200,0,0,0
05-STEO-35.7,200,200,0,0,0
05-WINI_T2-1.2,199,200,-1,0,-1
06-FABS-5.0,200,200,0,0,0
06-FLYS-0.7,200,200,0,0,0
06-MADB-0.1,200,200,0,0,0
06-NING-7.7,200,200,0,0,0
07-BLDY-0.1,200,200,0,0,0
07-BUTL-3.5,200,200,0,0,0
07-CANA-32.8,200,200,0,0,0
07-COWA_T10-0.9,200,200,0,0,0
07-GEDD-1.4,200,200,0,0,0
07-HARB-0.5,200,200,0,0,0
07-HENC_T4-1.2,200,200,0,0,0
07-JACB-1.9,200,200,0,0,0
07-LITR-0.2,200,200,0,0,0
07-MUDE-4.4,199,200,-1,0,-1
07-MUSK-0.5,200,200,0,0,0
07-NINE-0.7,200,200,0,0,0
07-NORB_T10-1.5,200,200,0,0,0
07-ONON_W_T7-1.5,200,200,0,0,0
07-POBK_T4-1.5,200,200,0,0,0
07-SNDR-1.5,200,200,0,0,0
07-WBOT-0.3,200,200,0,0,0
08-BARE_T5-0.5,200,200,0,0,0
08-BENE-0.2,200,200,0,0,0
08-BLAC-2.5,132,200,-68,0,-68
08-MURM-3.4,200,200,0,0,0
09-ALLE-1.9,200,200,0,0,0
09-BIBK-5.4,200,200,0,0,0
09-BLCH-0.2,200,200,0,0,0
09-BRND-2.5,200,200,0,0,0
09-CEDL-0.1,200,200,0,0,0
09-CHPW-11.0,200,200,0,0,0
09-ENGL-17.6,200,200,0,0,0
09-FARR-3.1,200,200,0,0,0
09-FSCR-9.2,200,200,0,0,0
09-JEWT-3.1,200,200,0,0,0
09-LSAL_T1-1.0,200,200,0,0,0
09-LSUK-11.3,200,200,0,0,0
09-LTTL-13.2,182,200,-18,0,-18
09-MARA-4.5,200,200,0,0,0
09-OTTS-0.2,200,200,0,0,0
09-PIKC-8.7,200,200,0,0,0
09-PLMB-12.4,200,200,0,0,0
09-SCKE-16.4,200,200,0,0,0
09-SOAP-0.8,44,200,-156,0,-156
09-TRAY-2.9,200,200,0,0,0
09-WHIK-0.8,200,200,0,0,0
09-WSCK-3.4,200,200,0,0,0
10-ARNO-0.1,200,200,0,0,0
10-BISH-0.6,200,200,0,0,0
10-CMIL-3.3,55,200,-145,0,-145
10-COLW-0.7,121,200,-79,0,-79
10-LGLN-0.5,200,200,0,0,0
10-LSAR_T10-0.3,200,200,0,0,0
10-MILC-6.3,200,200,0,0,0
10-NSAR_T7-0.8,200,200,0,0,0
10-PUTM_T5-0.3,200,200,0,0,0
10-ROUT-1.3,200,200,0,0,0
10-TRAE-4.5,200,200,0,0,0
10-TWOB-3.6,200,200,0,0,0
10-URIL-0.4,200,200,0,0,0
11-GORN-6.0,200,200,0,0,0
11-MOSE-12.8,200,200,0,0,0
11-ROWL-0.5,200,200,0,0,0
11-SRUN-3.8,170,200,-30,0,-30
11-TEET-0.8,200,200,0,0,0
11-TOMH-12.2,200,200,0,0,0
12-ALPL_T11-2.1,200,200,0,0,0
12-BARK-0.6,200,200,0,0,0
13-BASC_T17-2.4,200,200,0,0,0
13-BLKH-8.2,200,200,0,0,0
13-BLKK-1.1,200,200,0,0,0
13-EBCR-16.3,200,200,0,0,0
13-FISH-16.3,96,200,-104,0,-104
13-NOST-0.3,200,200,0,0,0
13-QKER-0.9,139,200,-61,0,-61
13-QKER-1.0,200,200,0,0,0
13-RHIN-4.3,200,200,0,0,0
13-RIOG-0.7,200,200,0,0,0
13-SPRO-9.2,181,200,-19,0,-19
13-WALK_T25-1.5,200,200,0,0,0
13-WBLKK-8.9,200,200,0,0,0
13-WKLEI-0.6,53,200,-147,0,-147
14-HURL-2.8,200,200,0,0,0
14-TENR-3.7,200,200,0,0,0
14-WLAK-5.8,200,200,0,0,0
15-HACK-3.3,200,200,0,0,0
15-MAWA-3.7,200,200,0,0,0
15-RAMA-13.7,200,200,0,0,0
16-AMEN_T2-1.1,200,200,0,0,0
16-BOGH-0.3,200,200,0,0,0
16-SWEL-0.1,200,200,0,0,0
16-SWMP-6.8,200,200,0,0,0
16-WEBA-23.3,200,200,0,0,0
16-WEBA_T4-1.3,200,200,0,0,0
17-BRWN-0.9,200,200,0,0,0
17-BVDC-0.4,200,200,0,0,0
17-CARL-0.8,200,200,0,0,0
17-CARM-12.9,200,200,0,0,0
17-CARM-9.0,200,200,0,0,0
17-EMED-0.4,45,200,-155,0,-155
17-GREN-0.8,200,200,0,0,0
17-MASS-1.2,200,200,0,0,0
17-MBUR-2.1,200,200,0,0,0
17-MIAN-14.2,200,200,0,0,0
17-MUDL-1.4,200,200,0,0,0
17-NISS-4.7,200,200,0,0,0
17-NISS_E-2.6,200,200,0,0,0
17-OROW-0.6,200,200,0,0,0
17-PECN-8.9,200,200,0,0,0
17-PENA-1.4,200,200,0,0,0
17-SAMP-2.1,200,200,0,0,0
17-SANT-1.7,172,200,-28,0,-28
17-SWML-1.4,40,200,-160,0,-160
17-TERR-0.2,200,200,0,0,0
