macrophyte_pct,spcond,ph,landcover_nat_pct,landcover_dev_pct,landcover_ag_pct,habitat_total_score,,,,min,max,median
nbr.val,161,161,161,161,161,161,161,,macrophyte_pct,0,100,20
nbr.null,22,0,0,0,0,14,0,,spcond,17.6,2743,401
nbr.na,0,0,0,0,0,0,0,,ph,2.2,8.8,7.36
min,0,17.6,2.2,0.26432403,0.09036392,0,26,,landcover_nat_pct,0.26,99.30,49.53
max,100,2743,8.8,99.29880118,99.62683666,88.85209713,188,,landcover_dev_pct,0.09,99.63,5.78
range,100,2725.4,6.6,99.03447715,99.53647274,88.85209713,162,,landcover_ag_pct,0,88.85,19.41
sum,4682.679739,84375.6,1158.97,8659.969815,3263.470313,3996.238722,21786.19723,,habitat_total_score,26,188,137
median,20,401,7.36,49.53301127,5.78333044,19.41407958,137,,,,,
mean,29.08496732,524.0720497,7.198571429,53.78863239,20.27000195,24.82135852,135.3179952,,,,,
SE.mean,2.090460953,39.08556845,0.060379806,2.133173829,2.224085219,1.809071644,2.161235746,,,,,
CI.mean.0.95,4.128454597,77.1901501,0.119244173,4.212808323,4.392349369,3.572738412,4.268227847,,,,,
var,703.5743464,245956.7474,0.586961071,732.6193243,796.3953651,526.9111744,752.0213322,,,,,
std.dev,26.5249759,495.940266,0.766133847,27.06694154,28.22047776,22.95454583,27.42300735,,,,,
coef.var,0.911982317,0.946320771,0.106428596,0.503209328,1.392228666,0.924790068,0.202656027,,,,,
